"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2022","Acyclic hydrocarbons; saturated","Export","91818482","56091799.629","Weight in kilograms","56091799.629"
"China","2022","Acyclic hydrocarbons; saturated","Import","2094540206","3256437248.263","Weight in kilograms","3256437248.263"
"China","2022","Acyclic hydrocarbons; unsaturated, ethylene","Import","2165546765","2067548735","Weight in kilograms","2067548735"
"China","2022","Acyclic hydrocarbons; unsaturated, ethylene","Export","162221671","154084264","Weight in kilograms","154084264"
"China","2022","Acyclic hydrocarbons; unsaturated, propene (propylene)","Import","2379997192","2337132608","Weight in kilograms","2337132608"
"China","2022","Acyclic hydrocarbons; unsaturated, propene (propylene)","Export","50588052","38835043","Weight in kilograms","38835043"
"China","2022","Acyclic hydrocarbons; unsaturated, butene (butylene) and isomers thereof","Import","74005485","54012338.375","Weight in kilograms","54012338.375"
"China","2022","Acyclic hydrocarbons; unsaturated, butene (butylene) and isomers thereof","Export","5455781","4202667","Weight in kilograms","4202667"
"China","2022","Acyclic hydrocarbons; unsaturated, buta-1,3-diene and isoprene","Import","169145524","170614986.222","Weight in kilograms","170614986.222"
"China","2022","Acyclic hydrocarbons; unsaturated, buta-1,3-diene and isoprene","Export","178224796","126005730","Weight in kilograms","126005730"
"China","2022","Acyclic hydrocarbons; unsaturated, n.e.c. in heading no. 2901","Import","212320526","120407729.201","Weight in kilograms","120407729.201"
"China","2022","Acyclic hydrocarbons; unsaturated, n.e.c. in heading no. 2901","Export","136760165","40023544.395","Weight in kilograms","40023544.395"
"China","2022","Cyclic hydrocarbons; cyclohexane","Import","349298","","No Quantity",""
"China","2022","Cyclic hydrocarbons; cyclohexane","Export","39970094","33394051","Weight in kilograms","33394051"
"China","2022","Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane","Import","93454726","14590782.952","Weight in kilograms","14590782.952"
"China","2022","Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane","Export","180646569","85512161.079","Weight in kilograms","85512161.079"
"China","2022","Cyclic hydrocarbons; benzene","Export","5827801","6613180","Weight in kilograms","6613180"
"China","2022","Cyclic hydrocarbons; benzene","Import","3446944795","3321719837.759","Weight in kilograms","3321719837.759"
"China","2022","Cyclic hydrocarbons; toluene","Import","64424885","67683626.449","Weight in kilograms","67683626.449"
"China","2022","Cyclic hydrocarbons; toluene","Export","712242360","648753006","Weight in kilograms","648753006"
"China","2022","Cyclic hydrocarbons; o-xylene","Export","41071754","34122330","Weight in kilograms","34122330"
"China","2022","Cyclic hydrocarbons; o-xylene","Import","64549817","61029556.1","Weight in kilograms","61029556.1"
"China","2022","Cyclic hydrocarbons; m-xylene","Export","4","2.244","Weight in kilograms","2.244"
"China","2022","Cyclic hydrocarbons; m-xylene","Import","54859191","46454384.042","Weight in kilograms","46454384.042"
"China","2022","Cyclic hydrocarbons; p-xylene","Import","11532272104","10582457252.989","Weight in kilograms","10582457252.989"
"China","2022","Cyclic hydrocarbons; p-xylene","Export","92705473","78612097","Weight in kilograms","78612097"
"China","2022","Cyclic hydrocarbons; mixed xylene isomers","Import","156241","","No Quantity",""
"China","2022","Cyclic hydrocarbons; mixed xylene isomers","Export","16118344","12876316","Weight in kilograms","12876316"
"China","2022","Cyclic hydrocarbons; styrene","Import","1355174758","1143180543.843","Weight in kilograms","1143180543.843"
"China","2022","Cyclic hydrocarbons; styrene","Export","745653014","562494643","Weight in kilograms","562494643"
"China","2022","Cyclic hydrocarbons; ethylbenzene","Import","4955","104.453","Weight in kilograms","104.453"
"China","2022","Cyclic hydrocarbons; ethylbenzene","Export","953912","544980","Weight in kilograms","544980"
"China","2022","Cyclic hydrocarbons; cumene","Import","690662065","559221102.851","Weight in kilograms","559221102.851"
"China","2022","Cyclic hydrocarbons; n.e.c. in heading no. 2902","Export","229305131","66486711.369","Weight in kilograms","66486711.369"
"China","2022","Cyclic hydrocarbons; n.e.c. in heading no. 2902","Import","112442400","35871195.981","Weight in kilograms","35871195.981"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; chloromethane (methyl chloride) and chloroethane (ethyl chloride)","Import","134212","78029.302","Weight in kilograms","78029.302"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; chloromethane (methyl chloride) and chloroethane (ethyl chloride)","Export","6818818","7826331","Weight in kilograms","7826331"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; dichloromethane (methylene chloride)","Import","480687","95688.225","Weight in kilograms","95688.225"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; dichloromethane (methylene chloride)","Export","111440048","157201441","Weight in kilograms","157201441"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; chloroform (trichloromethane)","Export","4331743","8299501","Weight in kilograms","8299501"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; chloroform (trichloromethane)","Import","16525","1017","Weight in kilograms","1017"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; ethylene dichloride (ISO) (1,2-dichloroethane)","Export","57338751","78424658","Weight in kilograms","78424658"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; ethylene dichloride (ISO) (1,2-dichloroethane)","Import","58995459","139480521.921","Weight in kilograms","139480521.921"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.1","Export","39266928","10742283.789","Weight in kilograms","10742283.789"
"China","2022","Saturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.1","Import","2409927","3728108.685","Weight in kilograms","3728108.685"
"China","2022","Unsaturated chlorinated derivatives of acyclic hydrocarbons; vinyl chloride (chloroethylene)","Import","860891007","922127780","Weight in kilograms","922127780"
"China","2022","Unsaturated chlorinated derivatives of acyclic hydrocarbons; vinyl chloride (chloroethylene)","Export","108458456","119851720","Weight in kilograms","119851720"
"China","2022","Unsaturated chlorinated derivatives of acyclic hydrocarbons; trichloroethylene","Export","40117132","23537474","Weight in kilograms","23537474"
"China","2022","Unsaturated chlorinated derivatives of acyclic hydrocarbons; trichloroethylene","Import","1124218","1001170","Weight in kilograms","1001170"
"China","2022","Unsaturated chlorinated derivatives of acyclic hydrocarbons; tetrachloroethylene (perchloroethylene)","Import","73739970","61258893.587","Weight in kilograms","61258893.587"
"China","2022","Unsaturated chlorinated derivatives of acyclic hydrocarbons; tetrachloroethylene (perchloroethylene)","Export","17638054","11125810","Weight in kilograms","11125810"
"China","2022","Unsaturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.2","Export","103370583","34790542.393","Weight in kilograms","34790542.393"
"China","2022","Unsaturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.2","Import","2525485","94375.689","Weight in kilograms","94375.689"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; trifluoromethane (HFC-23)","Import","4021150","156234","Weight in kilograms","156234"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; trifluoromethane (HFC-23)","Export","10077940","792419","Weight in kilograms","792419"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; difluoromethane (HFC-32)","Export","135649852","59661172","Weight in kilograms","59661172"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; difluoromethane (HFC-32)","Import","7803030","46365","Weight in kilograms","46365"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)","Export","123132656","36210455","Weight in kilograms","36210455"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)","Import","17927445","27700","Weight in kilograms","27700"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)","Export","161639140","34606252","Weight in kilograms","34606252"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)","Import","849388","295600","Weight in kilograms","295600"
"China","2022","Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,2-tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC-134)","Import","7026222","263452","Weight in kilograms","263452"
