"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"India","2022","290110","Acyclic hydrocarbons; saturated","Export","11851569.526","8193138.361","Weight in kilograms","8193138.361"
"India","2022","290110","Acyclic hydrocarbons; saturated","Import","996425600.256","1694595603.205","Weight in kilograms","1694595603.205"
"India","2022","290121","Acyclic hydrocarbons; unsaturated, ethylene","Import","101893266.992","","No Quantity",""
"India","2022","290121","Acyclic hydrocarbons; unsaturated, ethylene","Export","50946212.673","50401534.555","Weight in kilograms","50401534.555"
"India","2022","290122","Acyclic hydrocarbons; unsaturated, propene (propylene)","Export","1655.492","","No Quantity",""
"India","2022","290122","Acyclic hydrocarbons; unsaturated, propene (propylene)","Import","20618419.931","17981679.161","Weight in kilograms","17981679.161"
"India","2022","290123","Acyclic hydrocarbons; unsaturated, butene (butylene) and isomers thereof","Export","15692943.361","13875000","Weight in kilograms","13875000"
"India","2022","290123","Acyclic hydrocarbons; unsaturated, butene (butylene) and isomers thereof","Import","227007.655","42405.783","Weight in kilograms","42405.783"
"India","2022","290124","Acyclic hydrocarbons; unsaturated, buta-1,3-diene and isoprene","Export","107557193.371","127249628.596","Weight in kilograms","127249628.596"
"India","2022","290124","Acyclic hydrocarbons; unsaturated, buta-1,3-diene and isoprene","Import","11783157.041","8799340.402","Weight in kilograms","8799340.402"
"India","2022","290129","Acyclic hydrocarbons; unsaturated, n.e.c. in heading no. 2901","Export","2667905.022","","No Quantity",""
"India","2022","290129","Acyclic hydrocarbons; unsaturated, n.e.c. in heading no. 2901","Import","242055440.635","131495857.88","Weight in kilograms","131495857.88"
"India","2022","290211","Cyclic hydrocarbons; cyclohexane","Export","31997809.815","30478891.013","Weight in kilograms","30478891.013"
"India","2022","290211","Cyclic hydrocarbons; cyclohexane","Import","12435954.804","9783490.839","Weight in kilograms","9783490.839"
"India","2022","290219","Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane","Export","23373178.359","3321350.677","Weight in kilograms","3321350.677"
"India","2022","290219","Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane","Import","121686816.388","32163939.588","Weight in kilograms","32163939.588"
"India","2022","290220","Cyclic hydrocarbons; benzene","Import","7446295.968","","No Quantity",""
"India","2022","290220","Cyclic hydrocarbons; benzene","Export","1655766771.598","","No Quantity",""
"India","2022","290230","Cyclic hydrocarbons; toluene","Export","15969043.195","","No Quantity",""
"India","2022","290230","Cyclic hydrocarbons; toluene","Import","615188416.91","568640985.041","Weight in kilograms","568640985.041"
"India","2022","290241","Cyclic hydrocarbons; o-xylene","Export","178163011.039","168310324.274","Weight in kilograms","168310324.274"
