"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Mexico","2022","290110","Acyclic hydrocarbons; saturated","Import","355601096","1392091854.216","Weight in kilograms","1392091854.216"
"Mexico","2022","290121","Acyclic hydrocarbons; unsaturated, ethylene","Import","9753398","5868527","Weight in kilograms","5868527"
"Mexico","2022","290122","Acyclic hydrocarbons; unsaturated, propene (propylene)","Import","177555124","160576954","Weight in kilograms","160576954"
"Mexico","2022","290123","Acyclic hydrocarbons; unsaturated, butene (butylene) and isomers thereof","Import","1864440","1093490","Weight in kilograms","1093490"
"Mexico","2022","290124","Acyclic hydrocarbons; unsaturated, buta-1,3-diene and isoprene","Import","9120536","6475130","Weight in kilograms","6475130"
"Mexico","2022","290129","Acyclic hydrocarbons; unsaturated, n.e.c. in heading no. 2901","Import","7175599","3525040.534","Weight in kilograms","3525040.534"
"Mexico","2022","290211","Cyclic hydrocarbons; cyclohexane","Import","2675071","1875557","Weight in kilograms","1875557"
"Mexico","2022","290219","Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane","Import","34124524","15388601.694","Weight in kilograms","15388601.694"
"Mexico","2022","290219","Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane","Export","1921940","424527","Weight in kilograms","424527"
"Mexico","2022","290230","Cyclic hydrocarbons; toluene","Import","87246015","74215049","Weight in kilograms","74215049"
"Mexico","2022","290230","Cyclic hydrocarbons; toluene","Export","1522185","1211590","Weight in kilograms","1211590"
"Mexico","2022","290241","Cyclic hydrocarbons; o-xylene","Import","25152505","20797522","Weight in kilograms","20797522"
"Mexico","2022","290243","Cyclic hydrocarbons; p-xylene","Import","202527096","186851001","Weight in kilograms","186851001"
"Mexico","2022","290244","Cyclic hydrocarbons; mixed xylene isomers","Import","23679301","17918462","Weight in kilograms","17918462"
"Mexico","2022","290250","Cyclic hydrocarbons; styrene","Import","742375671","501486386","Weight in kilograms","501486386"
"Mexico","2022","290290","Cyclic hydrocarbons; n.e.c. in heading no. 2902","Import","4232603","1014011.544","Weight in kilograms","1014011.544"
"Mexico","2022","290311","Saturated chlorinated derivatives of acyclic hydrocarbons; chloromethane (methyl chloride) and chloroethane (ethyl chloride)","Import","362396","164595.415","Weight in kilograms","164595.415"
"Mexico","2022","290312","Saturated chlorinated derivatives of acyclic hydrocarbons; dichloromethane (methylene chloride)","Import","14740954","10013969","Weight in kilograms","10013969"
"Mexico","2022","290313","Saturated chlorinated derivatives of acyclic hydrocarbons; chloroform (trichloromethane)","Import","6270877","6381951","Weight in kilograms","6381951"
"Mexico","2022","290315","Saturated chlorinated derivatives of acyclic hydrocarbons; ethylene dichloride (ISO) (1,2-dichloroethane)","Import","390471","39617","Weight in kilograms","39617"
"Mexico","2022","290322","Unsaturated chlorinated derivatives of acyclic hydrocarbons; trichloroethylene","Import","248152","115327","Weight in kilograms","115327"
"Mexico","2022","290323","Unsaturated chlorinated derivatives of acyclic hydrocarbons; tetrachloroethylene (perchloroethylene)","Import","5596916","4334207","Weight in kilograms","4334207"
"Mexico","2022","290329","Unsaturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.2","Import","1234078","318528","Weight in kilograms","318528"
"Mexico","2022","290371","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoromethane (HCFC-22)","Import","728034","149183","Weight in kilograms","149183"
"Mexico","2022","290379","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in item no. 2903.7","Import","16709066","1036300","Weight in kilograms","1036300"
"Mexico","2022","290391","Halogenated derivatives of aromatic hydrocarbons; chlorobenzene, o-dichlorobenzene, and p-dichlorobenzene","Import","3020581","1458875","Weight in kilograms","1458875"
"Mexico","2022","290399","Halogenated derivatives of aromatic hydrocarbons; n.e.c. in item no. 2903.91, 2903.92, 2903.93 and 2903.94","Import","32522795","2320355.792","Weight in kilograms","2320355.792"
"Mexico","2022","290410","Derivatives of hydrocarbons; containing only sulpho groups, their salts and ethyl esters, whether or not halogenated","Import","3823211","1513597.526","Weight in kilograms","1513597.526"
"Mexico","2022","290410","Derivatives of hydrocarbons; containing only sulpho groups, their salts and ethyl esters, whether or not halogenated","Export","282763","91483","Weight in kilograms","91483"
"Mexico","2022","290420","Derivatives of hydrocarbons; containing only nitro or only nitroso groups, whether or not halogenated","Import","9546","3306.526","Weight in kilograms","3306.526"
"Mexico","2022","290499","Derivatives of hydrocarbons n.e.c. in heading no. 2904, whether or not halogenated","Import","1831680","455225","Weight in kilograms","455225"
"Mexico","2022","290511","Alcohols; saturated monohydric, methanol (methyl alcohol)","Import","56515116","139276729.378","Weight in kilograms","139276729.378"
"Mexico","2022","290511","Alcohols; saturated monohydric, methanol (methyl alcohol)","Export","357450","700569","Weight in kilograms","700569"
"Mexico","2022","290512","Alcohols; saturated monohydric, propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)","Import","82270338","54099061","Weight in kilograms","54099061"
"Mexico","2022","290512","Alcohols; saturated monohydric, propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)","Export","481655","261057","Weight in kilograms","261057"
"Mexico","2022","290513","Alcohols; saturated monohydric, butan-1-ol (n-butyl alcohol)","Import","8053322","3758319","Weight in kilograms","3758319"
"Mexico","2022","290514","Alcohols; saturated monohydric, butanols excluding item no. 2905.13","Import","3923360","2458171","Weight in kilograms","2458171"
"Mexico","2022","290516","Alcohols; saturated monohydric, octanol (octyl alcohol) and isomers thereof","Import","75677189","40880922","Weight in kilograms","40880922"
"Mexico","2022","290517","Alcohols; saturated monohydric, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)","Import","33518743","10013360.392","Weight in kilograms","10013360.392"
"Mexico","2022","290519","Alcohols; saturated monohydric, n.e.c. in item no. 2905.1","Import","33010314","8108569.867","Weight in kilograms","8108569.867"
"Mexico","2022","290519","Alcohols; saturated monohydric, n.e.c. in item no. 2905.1","Export","8851402","4200371","Weight in kilograms","4200371"
"Mexico","2022","290522","Alcohols; unsaturated monohydric, acyclic terpene alcohols","Import","20902498","2429522.904","Weight in kilograms","2429522.904"
"Mexico","2022","290522","Alcohols; unsaturated monohydric, acyclic terpene alcohols","Export","33192","2820","Weight in kilograms","2820"
"Mexico","2022","290529","Alcohols; acyclic, unsaturated monohydric, (other than acyclic terpene alcohols)","Import","7905723","657292.375","Weight in kilograms","657292.375"
"Mexico","2022","290531","Alcohols; acyclic, diols; ethylene glycol (ethanediol)","Import","260154372","458809566.109","Weight in kilograms","458809566.109"
"Mexico","2022","290532","Alcohols; acyclic, diols; propylene glycol (propane-1, 2-diol)","Import","68769789","36782901","Weight in kilograms","36782901"
"Mexico","2022","290532","Alcohols; acyclic, diols; propylene glycol (propane-1, 2-diol)","Export","5831580","2560538","Weight in kilograms","2560538"
